0.047|0.144|0.071	0.031|0.180|0.053	0.016|0.220|0.031	0.010|0.254|0.019	0.006|0.297|0.012
0.002|0.007	0.002|0.012	0.002|0.025	0.002|0.049	0.002|0.090
0.002|0.003	0.001|0.005	0.001|0.013	0.001|0.026	0.001|0.051
0.008|0.018	0.008|0.033	0.006|0.068	0.005|0.111	0.004|0.181
0.003|0.010	0.002|0.019	0.002|0.039	0.002|0.068	0.002|0.117
0.0021|0.0073	0.0021|0.0139	0.0019|0.0317	0.0017|0.0565	0.0015|0.1033
				
0.027|0.088	0.020|0.121	0.012|0.163	0.008|0.201	0.005|0.245
0.048|0.177	0.036|0.230	0.022|0.302	0.014|0.361	0.009|0.443
0.038|0.111	0.028|0.152	0.018|0.213	0.012|0.268	0.008|0.328
0.029|0.076	0.023|0.107	0.015|0.161	0.010|0.211	0.007|0.273
0.035|0.083	0.028|0.123	0.020|0.195	0.014|0.276	0.009|0.357
0.034|0.146	0.025|0.208	0.015|0.286	0.009|0.343	0.006|0.420
0.0477|0.1944	0.0333|0.2558	0.0181|0.3302	0.0109|0.3882	0.0063|0.4450
