98.7	87	82	60.4	99.6	92.2	99.3
98.7	88	90.7	93.1	100	99.2	100
98.7	89	93	96.3	100	98.2	100
97.6	85	86	81.6	99.7	92.9	98.3
96.5	84	65.5	66.7	96.4	84.7	94.8
87.3	90	95.7	98.5	100	100	100
88.8	91	98.2	99.6	100	100	100
89.3	92.1	99	99.9	100	100	100
86.9	88	98.6	99.4	100	100	100
82.6	85	96.1	97.8	99.9	99.2	99
98.6	98	51.3	52.5	98.3	98.5	96.2
99.4	98.5	53.5	60.1	99.3	99.8	99.9
99.5	99.4	52.8	76.6	99.2	100	100
99.2	99.3	53.1	64.3	87.6	93.7	96.2
96.2	99	53.6	58.2	68.3	80.7	88.7
99.7	97	50.7	54.4	93.1	93.6	98.2
99.8	98	51.5	63.4	99.5	99.7	99.9
99.9	99.9	52.3	79.6	99.7	100	100
99.4	99	52	63.8	86.1	66.1	91.2
96.7	95	51.7	56.9	74.2	54.4	83.4
92	88	50.9	53.8	91.4	85.6	95.1
96.2	91	56.3	61	98.7	99.6	99.6
97.2	91.5	59.3	69.1	99.5	100	100
92.7	89	53.9	55.6	66.5	59.7	54.4
71.8	78	51.3	52.3	51.1	50.5	50
92.2	89	66.3	52.4	100	85.9	84.7
94.5	91	95.2	81.3	100	100	100
95.1	93.3	99.9	100	100	100	100
90.3	91	86.5	53.9	100	87.9	93
79.7	82	79.7	52.3	98.1	66.3	90
84.2	75	57.4	51.2	99.6	58.4	66.2
89.7	78	72.3	72.3	99.9	99.5	99.4
91	80.4	83.7	99.3	100	100	100
82.9	76	75.1	53.1	89.6	54.7	57.2
64	68	62	50.9	66.3	51.8	51.9
87.6	92	61	57.8	99.7	97.7	99.7
91.3	94	78.5	90.7	100	100	100
92.3	95.1	86.8	98.4	100	100	100
91.7	91	65.5	91.5	98.7	99.4	99.3
87.1	89	64.3	77.1	85.9	96	99
