0.93	0.93	0.5	0.5	0.5
0.96	0.6	0.5	0.5	0.5
0.98	0.91	0.5	0.5	0.5
0.86	0.81	0.69	0.58	0.58
0.98	0.5	0.5	0.5	0.5
0.64	0.64	0	0	0
0.97	0.97	0	0	0
0.99	0.61	0.5	0.5	0.5
0.95	0.61	0.5	0.5	0.5
0.99	0.92	0.5	0.5	0.5
0.89	0.84	0.71	0.59	0.58
0.99	0.5	0.5	0.5	0.5
0.52	0.52	0	0	0
0.96	0.96	0	0	0
0.97	0.88	0.5	0.5	0.5
0.95	0.6	0.5	0.5	0.5
0.98	0.91	0.5	0.5	0.5
0.85	0.8	0.68	0.57	0.57
0.94	0.5	0.5	0.5	0.5
0.54	0.54	0	0	0
0.5	0.5	0	0	0
0.99	0.54	0.5	0.5	0.5
0.95	0.6	0.5	0.5	0.5
0.98	0.9	0.5	0.5	0.5
0.87	0.82	0.69	0.5	0.5
0.99	0.5	0.5	0.5	0.5
0.52	0.52	0	0	0
0.5	0.5	0	0	0
0.97	0.5	0.5	0.5	0.5
0.96	0.6	0.5	0.5	0.5
0.99	0.92	0.5	0.5	0.5
0.9	0.84	0.71	0.6	0.6
0.98	0.5	0.5	0.5	0.5
0.59	0.59	0	0	0
0.98	0.98	0	0	0
0.99	0.91	0.5	0.5	0.5
0.96	0.6	0.5	0.5	0.5
0.99	0.92	0.5	0.5	0.5
0.9	0.85	0.72	0.6	0.59
0.99	0.5	0.5	0.5	0.5
0.64	0.64	0	0	0
0.99	0.99	0	0	0
0.95	0.91	0.5	0.5	0.5
0.96	0.61	0.5	0.5	0.5
0.99	0.91	0.5	0.5	0.5
0.86	0.8	0.68	0.59	0.59
0.99	0.5	0.5	0.5	0.5
0.56	0.56	0	0	0
0.97	0.97	0	0	0
0.99	0.86	0.51	0.5	0.5
0.99	0.95	0.81	0.69	0.5
0.99	0.99	0.54	0.5	0.5
0.99	0.98	0.98	0.96	0.93
0.92	0.66	0.5	0.5	0.5
0.82	0.82	0	0	0
0.86	0.86	0	0	0
