0.93	0.5	0.5	0.5	0.5	0.5
0.96	0.62	0.46	0.36	0.3	0.28
0.98	0.51	0.5	0.5	0.5	0.5
0.86	0.86	0.85	0.83	0.8	0.77
0.98	0.5	0.5	0.5	0.5	0.5
0.64	0.64	0.64	0	0	0
0.97	0.97	0.97	0	0	0
0.99	0.7	0.51	0.5	0.5	0.5
0.95	0.88	0.69	0.604	0.58	0.58
0.99	0.59	0.5	0.5	0.5	0.5
0.89	0.89	0.88	0.86	0.86	0.85
0.99	0.5	0.5	0.5	0.5	0.5
0.52	0.52	0.52	0	0	0
0.96	0.96	0.96	0	0	0
0.97	0.5	0.5	0.5	0.5	0.5
0.95	0.81	0.64	0.55	0.53	0.51
0.98	0.81	0.56	0.503	0.5	0.5
0.85	0.85	0.83	0.78	0.73	0.69
0.94	0.5	0.5	0.5	0.5	0.5
0.54	0.54	0.54	0	0	0
0.5	0.5	0.5	0	0	0
0.99	0.5	0.5	0.5	0.5	0.5
0.95	0.77	0.63	0.56	0.52	0.51
0.98	0.62	0.5	0.5	0.5	0.5
0.87	0.87	0.85	0.81	0.76	0.74
0.99	0.5	0.5	0.5	0.5	0.5
0.52	0.52	0.52	0	0	0
0.5	0.5	0.5	0	0	0
0.97	0.5	0.5	0.5	0.5	0.5
0.96	0.67	0.62	0.5	0.42	0.37
0.99	0.47	0.49	0.5	0.5	0.5
0.9	0.9	0.88	0.86	0.83	0.79
0.98	0.5	0.5	0.5	0.5	0.5
0.59	0.59	0.59	0	0	0
0.98	0.98	0.98	0	0	0
0.99	0.97	0.59	0.5	0.5	0.5
0.96	0.73	0.62	0.55	0.53	0.51
0.99	0.48	0.48	0.5	0.5	0.5
0.9	0.9	0.89	0.86	0.75	0.74
0.99	0.5	0.5	0.5	0.5	0.5
0.64	0.64	0.64	0	0	0
0.99	0.99	0.99	0	0	0
0.95	0.53	0.5	0.5	0.5	0.5
0.96	0.71	0.57	0.49	0.48	0.47
0.99	0.58	0.5	0.5	0.5	0.5
0.86	0.86	0.83	0.77	0.69	0.64
0.99	0.5	0.5	0.5	0.5	0.5
0.56	0.56	0.56	0	0	0
0.97	0.97	0.97	0	0	0
0.99	0.5	0.5	0.5	0.5	0.5
0.99	0.72	0.57	0.49	0.48	0.47
0.99	0.52	0.5	0.5	0.5	0.5
0.99	0.98	0.98	0.98	0.98	0.98
0.92	0.6	0.57	0.51	0.5	0.5
0.82	0.82	0.82	0	0	0
0.86	0.86	0.86	0	0	0
