98.2	67.6	33.3	33.3	35.6	51	34.8	89.2
55.4	100	33.3	33.3	33.5	34.8	33.3	44.6
33.3	33.3	100	99	33.3	34.3	33.3	33.3
33.3	33.4	94.4	100	33.3	34.3	33.3	33.3
92	41.4	33.3	33.3	100	47.3	33.4	64.6
56.5	36	33.3	33.3	33.3	100	33.4	34.7
33.3	33.3	33.3	33.3	33.3	34.3	100	33.3
93.2	53.1	33.3	33.3	40.4	57.7	33.3	100
100	92.2	33.3	33.3	39.3	79.1	35.7	94.8
68.8	100	33.3	33.3	33.8	53.5	33.3	53.1
33.3	33.3	100	99	33.3	34.3	33.3	33.3
33.3	33.3	96.7	100	33.3	34.3	33.3	33.3
97	55	33.3	33.3	100	83.4	34	95.2
71.3	66.4	33.3	33.3	34.3	100	33.3	50.8
33.3	33.3	33.3	33.3	33.3	34.3	100	33.3
96.5	91.7	33.3	33.3	47.3	86.3	33.6	100
